Key Lower Bound,Key Generation,Operation,Verification
0.018328,58.731091,11.975539,1.775987,
0.008797,104.497297,3.404616,1.919312,
0.009897,111.802485,3.329838,1.738597,
0.009531,112.683697,3.208139,1.688012,
0.009164,117.771927,4.391764,1.671150,
0.009531,109.481423,3.219503,1.913447,
0.009531,117.807483,3.752849,1.877891,
0.009897,110.267329,3.238564,1.743729,
0.007698,111.606375,3.418545,1.921145,
0.008064,107.276560,3.409748,1.876424,
0.008064,111.866267,3.279252,1.678482,
0.009164,114.734971,3.507253,1.917113,
0.009897,111.177499,3.600359,1.920778,
0.008431,119.314781,3.380056,2.052373,
0.008431,117.818846,3.733054,2.130451,
0.008064,121.584525,5.827582,1.979794,
0.008797,104.545316,3.472796,1.698276,
0.006965,107.713134,3.247728,1.681414,
0.008064,108.217888,3.286950,1.744096,
0.007698,108.008215,3.192744,1.744096,
0.007698,106.223431,3.620887,1.909781,
0.009897,106.966816,3.400950,1.810810,
0.009164,106.847684,3.183580,1.932875,
0.009531,108.028743,3.453369,1.799080,
0.019428,108.321991,3.261291,1.744462,
0.009164,105.869334,3.257992,1.757292,
0.018328,106.311772,3.181747,1.868360,
0.012830,108.112685,3.255426,1.826572,
0.009897,108.086659,3.463632,1.749961,
0.018695,106.719021,3.266423,1.892920,